customer_id,first_name,last_name,email,phone_number,address,city,state,zip_code,country,date_of_birth,gender,registration_date,status
1,Teresa,Silva,meganperkins@gmail.com,001-809-641-1608,"USCGC Ortiz
FPO AE 15097",West Leahmouth,Iowa,78906,Martinique,1971-09-09,Female,2022-07-13,Inactive
2,Nicole,Ross,utaylor@yahoo.com,001-328-569-8064,"428 Bryan Creek
East John, NH 49398",Lindseyborough,Nevada,52956,Jamaica,1980-12-31,Female,2024-06-03,Inactive
3,Lynn,Delgado,erobinson@yahoo.com,207.646.8243x12437,"28167 Hardin Gardens
West Hollyhaven, MS 09502",South Robert,Washington,37923,Saint Lucia,1956-05-17,Female,2021-06-23,Active
4,Christie,Stewart,jimenezkimberly@yahoo.com,098.936.8175,"636 Melissa Meadows
New Kristen, MS 04983",Nicholsfort,Alaska,62450,British Virgin Islands,1990-07-30,Female,2024-02-06,Inactive
5,Dominic,Vega,xsmith@knapp-smith.com,001-141-792-3338x436,"304 Washington Knoll
Jamesshire, CO 09345",North Robertmouth,Iowa,71304,Kuwait,1975-10-11,Male,2020-12-27,Inactive
6,Christina,Bennett,perezheather@jackson-gray.com,546-305-4465,"61222 Williams Gateway Suite 858
South Kim, NC 88981",Daviesville,North Carolina,99230,Mayotte,1955-10-12,Female,2021-05-11,Inactive
7,Cathy,Thompson,julia07@reed.com,039-193-2488x009,"3048 Watson Hollow Apt. 260
Kellyton, WY 04571",West Kelly,New Jersey,73946,Barbados,1971-09-06,Female,2022-01-09,Inactive
8,Janice,Powers,lisa43@gmail.com,(553)944-8929,"Unit 8263 Box 0754
DPO AA 34258",Autumnbury,Washington,49921,Afghanistan,1968-12-23,Female,2022-10-10,Inactive
9,Samantha,Williams,patriciawright@yahoo.com,217.861.6123x548,"991 Patterson Lights Apt. 567
Duncanport, MO 76794",East Troyport,Washington,15735,Brazil,1982-09-01,Female,2024-04-24,Active
10,Sandra,Rodriguez,cynthia78@goodman.com,070-949-6403x358,"78305 Nelson River
Lake Carla, TN 92528",Shelbyville,Rhode Island,86205,Uzbekistan,1959-08-05,Male,2020-09-28,Active
11,Stephanie,Flores,xelliott@mathews.com,625-454-6101,"3243 Anderson Shoals Suite 580
Lake Zacharyland, AL 82685",West Katie,Rhode Island,71180,Mauritania,1944-01-11,Male,2022-06-29,Inactive
12,David,Mack,dustin23@gutierrez.com,5398580839,"77639 April Fort
Danielborough, OR 56611",Port Marcia,Minnesota,33351,Guernsey,1970-08-25,Male,2023-06-30,Active
13,Michael,Lee,milleralexander@hotmail.com,656-303-7941,"65382 Angela Garden Suite 795
Lake Jonathan, FL 18381",Davisshire,Utah,34735,Belarus,1974-11-09,Female,2020-01-30,Inactive
14,Rachel,Berry,garciajohn@schultz.info,+1-342-561-8550x111,"36625 Reed Burgs
West Michelle, RI 18301",North Christopher,Mississippi,27084,New Caledonia,1957-09-18,Female,2020-07-15,Inactive
15,Hunter,Alvarez,ericabrown@jackson.biz,208-627-5948x8907,"095 Christopher Grove
Christopherstad, IL 73560",Kyleport,New York,30743,Saint Vincent and the Grenadines,1985-03-01,Male,2023-03-19,Active
16,Benjamin,Peters,gdavis@guzman.org,069.304.8030x9665,"475 Howard Mission
Natashashire, UT 40387",Austinberg,Florida,25557,Antigua and Barbuda,1974-08-31,Male,2023-08-21,Active
17,Glenn,Lynn,ninakim@gmail.com,(322)360-9944,"1749 Stacey Roads Apt. 176
Stephaniebury, TX 79659",Mitchelltown,Idaho,48451,Liberia,2003-09-16,Male,2023-03-21,Inactive
18,Taylor,Hahn,owong@rodriguez-franklin.org,(624)121-5315,"USNV White
FPO AP 77846",Jamesshire,West Virginia,46861,Grenada,1945-07-20,Male,2021-04-11,Active
